ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13469915,JH275231,05/23/2024 05:00:00 AM,080XX S ELLIS AVE,0810,THEFT,OVER $500,APARTMENT,false,true,631,6,8,44,06,1184288,1851971,2024,05/17/2025 03:40:52 PM,41.748978737,-87.600269164,"(41.748978737, -87.600269164)"
13461588,JH264845,05/15/2024 05:45:00 PM,032XX W MADISON ST,0810,THEFT,OVER $500,STREET,false,true,1123,11,28,27,06,1154863,1899836,2024,05/17/2025 03:40:52 PM,41.880964005,-87.706815211,"(41.880964005, -87.706815211)"
13412785,JH204331,03/27/2024 09:00:00 AM,049XX W GLADYS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1533,15,29,25,07,1143684,1897891,2024,12/21/2024 03:40:46 PM,41.875843293,-87.747912854,"(41.875843293, -87.747912854)"
13318587,JG553943,12/25/2023 04:00:00 AM,080XX S EUCLID AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,414,4,8,46,08B,1190595,1852082,2023,12/21/2024 03:40:46 PM,41.749133553,-87.577154713,"(41.749133553, -87.577154713)"
13318263,JG553700,12/24/2023 10:00:00 PM,008XX W 33RD ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,913,9,11,60,08A,1171118,1883141,2023,12/21/2024 03:40:46 PM,41.83481046,-87.647617797,"(41.83481046, -87.647617797)"
13299127,JG530482,12/06/2023 04:30:00 AM,003XX E 50TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,224,2,3,38,06,1179420,1871947,2023,12/14/2023 03:41:01 PM,41.803907325,-87.617497886,"(41.803907325, -87.617497886)"
13444931,JH244364,11/27/2023 12:01:00 AM,002XX N LA SALLE ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,122,1,42,32,06,1175099,1901781,2023,05/02/2024 03:41:47 PM,41.885871785,-87.632452147,"(41.885871785, -87.632452147)"
13281961,JG509848,11/18/2023 11:34:00 PM,005XX N LAKE SHORE DR,0880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,1834,18,42,8,06,1180260,1903999,2023,11/26/2023 03:40:28 PM,41.891840843,-87.613431785,"(41.891840843, -87.613431785)"
13260306,JG483907,10/29/2023 11:38:00 PM,024XX N LECLAIRE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,2521,25,31,19,15,1141978,1915922,2023,11/10/2023 03:40:18 PM,41.925354198,-87.753729467,"(41.925354198, -87.753729467)"
13226448,JG443098,09/28/2023 10:33:00 PM,071XX S PULASKI RD,0460,BATTERY,SIMPLE,CTA BUS,true,false,833,8,18,65,08B,1150938,1857056,2023,10/06/2023 03:43:01 PM,41.763647552,-87.722344693,"(41.763647552, -87.722344693)"
13226084,JG442756,09/28/2023 04:33:00 PM,007XX E 131ST ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,true,false,533,5,10,54,04A,1183601,1818537,2023,10/06/2023 03:43:01 PM,41.657247613,-87.603824365,"(41.657247613, -87.603824365)"
13229207,JG446539,08/30/2023 12:00:00 AM,070XX S BENNETT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,332,3,5,43,08A,1190099,1858398,2023,10/03/2023 03:41:27 PM,41.766477148,-87.578769217,"(41.766477148, -87.578769217)"
13191941,JG401906,08/29/2023 01:00:00 AM,068XX S HARPER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,true,true,332,3,5,43,08B,1187561,1860049,2023,09/06/2023 03:41:33 PM,41.771068356,-87.588019357,"(41.771068356, -87.588019357)"
